Address,Date,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Info
"10023",01/01/2015,26.8,38.9,32.7,9.6,37.95,,11.6,31.1,246.83,0,0,,10,0.5,1018.4,"",40.775921,-73.982607,"10023, USA",""
"10023",01/02/2015,35.8,42.2,38.5,16.6,40.72,,14.8,32.2,261.58,0,0,,10,18.9,1022.8,"",40.775921,-73.982607,"10023, USA",""
"10023",01/03/2015,34,41,36,25.7,68.12,,9.2,,90.54,0.7,45.83,,6.5,56.8,1031,"Ice, Light Snow, Mist, Rain, Light Rain, Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/04/2015,41.1,55.1,48.2,44.4,86.97,,14.1,31.2,223.91,0.3,58.33,1.2,7.1,89.6,1010.3,"Mist, Rain, Fog, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/05/2015,21.8,50.1,36.2,11.6,36.34,,22.4,45.8,292.75,0,0,,10,28.4,1019.2,"Mist",40.775921,-73.982607,"10023, USA",""
"10023",01/06/2015,19.1,21.8,20.5,6.9,57.13,,11.3,,274.39,0.1,16.67,1.2,7.1,51.1,1024.1,"Heavy Snow, Light Snow, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/07/2015,10.1,23.1,19,1.7,47.75,,20.9,36.7,285.38,0,0,1.2,9.9,25.4,1016.7,"Light Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/08/2015,8,20.1,14,-4.6,42.63,,14,35.6,267.67,0,0,1.2,10,0.7,1027.5,"",40.775921,-73.982607,"10023, USA",""
"10023",01/09/2015,19.1,33.1,26.5,8.7,47.69,,17.2,36.7,250.46,0.1,16.67,2,8.7,46.3,1018.2,"Light Snow, Mist, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/10/2015,16.1,23.1,19.9,-1.2,39.1,,12,29.8,275.38,0,0,1.2,10,0.2,1030.2,"",40.775921,-73.982607,"10023, USA",""
"10023",01/11/2015,17.9,37.1,28.6,4.9,36.15,,11.3,,236.96,0,0,,10,29,1035.8,"",40.775921,-73.982607,"10023, USA",""
"10023",01/12/2015,34.9,38,37,27.4,70.75,,9.1,,228.74,0.4,50,,6.8,100,1024.9,"Ice, Mist, Rain, Fog, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/13/2015,16.9,35.9,26.4,12.4,55.85,,16.5,,109.25,0,0,,10,34.6,1032.7,"",40.775921,-73.982607,"10023, USA",""
"10023",01/14/2015,16.9,32,24.7,12.3,58.84,,12.7,,56.92,0,0,,10,63.6,1028.7,"",40.775921,-73.982607,"10023, USA",""
"10023",01/15/2015,25.1,34.1,29.8,15.7,56.29,,12.9,,268.04,0,0,,9.9,43.1,1018.2,"",40.775921,-73.982607,"10023, USA",""
"10023",01/16/2015,20,43,31.9,12.4,44.49,,18.4,39.9,276.62,0,0,,9.6,30.6,1013.2,"Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/17/2015,17,30.8,23.5,4.3,43.8,,11.4,,253.5,0,0,,10,0.6,1026.8,"",40.775921,-73.982607,"10023, USA",""
"10023",01/18/2015,30.8,42.1,36.8,31.6,81.91,,7.1,,161.23,2.1,58.33,,5.2,72.9,1013.9,"Mist, Rain, Fog, Heavy Rain, Light Rain, Light Freezing Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/19/2015,37.1,41.1,38.9,25.4,59.55,,14.7,33.8,278.75,0,0,,10,78.7,1009.2,"",40.775921,-73.982607,"10023, USA",""
"10023",01/20/2015,33.2,39.8,36.9,19,48.31,,9.2,,296.21,0,0,,10,60.8,1013.1,"",40.775921,-73.982607,"10023, USA",""
"10023",01/21/2015,25,34.9,31.2,8.7,39.09,,6.9,,122.33,0,0,,10,48.4,1020.2,"",40.775921,-73.982607,"10023, USA",""
"10023",01/22/2015,30.8,38.9,34.3,19.5,54.61,,10.3,,231.12,0,0,,8.3,59.8,1023.4,"Light Snow, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/23/2015,28.1,38.9,33.3,17,51.08,,10.5,,261.67,0,0,,9.6,9,1023.3,"",40.775921,-73.982607,"10023, USA",""
"10023",01/24/2015,33.1,38,35.3,29.3,79.45,,12.8,31.1,199.75,0.7,50,3.1,4.5,74.7,1000.2,"Light Snow, Mist, Light Drizzle, Rain, Fog, Light Rain, weather_type_43, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/25/2015,32.1,42.1,37.2,17.8,47.1,,12.7,31.1,282.83,0,0,2,9.9,45.1,1007,"",40.775921,-73.982607,"10023, USA",""
"10023",01/26/2015,23.1,30.8,25.5,14.6,64.96,,19.6,35.6,50.33,0.4,50,12.7,4.2,89.6,1013,"Ice, Blowing Or Drifting Snow, Heavy Snow, Light Snow, Mist, Fog, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/27/2015,20.9,29.8,24.3,14.7,66.98,,18.5,34.6,238.96,0.4,37.5,9.1,6.2,51.7,1005.4,"Blowing Or Drifting Snow, Heavy Snow, Light Snow, Mist, Fog, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/28/2015,17,33.2,24.4,2.5,39.18,,13.8,,318.46,0,0,7.9,10,2.6,1017.4,"",40.775921,-73.982607,"10023, USA",""
"10023",01/29/2015,19.2,34.9,27.7,10.5,49.04,,11.3,,199.48,0,0,5.9,10,38.4,1023.2,"Light Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/30/2015,20,38,32.1,19.8,61.75,,18.5,37.8,275.71,0.1,37.5,7.1,7.8,73.8,1012.3,"Light Snow, Mist, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/31/2015,12.8,26,19.4,-0.5,41.52,,19.8,39.7,307.42,0,0,15.6,10,0.3,1019.7,"Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",02/01/2015,20,35.8,29.7,14.9,54.09,,8.3,,240.42,0,4.17,5.1,9,71.7,1021.2,"Light Snow, Mist",40.775921,-73.982607,"10023, USA",""
"10023",02/02/2015,14.1,33.2,26.9,22.2,82.26,,16.1,39.2,192.75,1,70.83,9.8,3.8,91.1,1003.5,"Ice, Heavy Snow, Mist, Light Snow, Rain, Fog, weather_type_43, Light Freezing Rain, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",02/03/2015,12.9,25,19.5,7.8,60.09,,20.3,34.4,280.29,0,0,9.8,9.1,0.8,1022.6,"",40.775921,-73.982607,"10023, USA",""
"10023",02/04/2015,24.9,42,34.1,20.1,56.34,,8,,228.12,0,4.17,9.1,9.2,64,1021.1,"",40.775921,-73.982607,"10023, USA",""
"10023",02/05/2015,15.1,42,29.5,11,46.49,,25.6,36.7,301.5,0,0,7.1,10,50,1015.9,"Light Snow",40.775921,-73.982607,"10023, USA",""
"10023",02/06/2015,11.9,26.9,19.4,0.1,42.64,,13.9,32.2,274.33,0,0,5.9,10,14.4,1022.2,"",40.775921,-73.982607,"10023, USA",""
"10023",02/07/2015,25,37.9,31.5,15.7,52.06,,10.2,,207.08,0,4.17,5.9,9,82.7,1018.7,"Light Snow, Snow",40.775921,-73.982607,"10023, USA",""
"10023",02/08/2015,30.9,37,34.5,28.2,77.74,,14.9,,70.96,0,0,4.4,5.7,92.2,1013.2,"Mist, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",02/09/2015,25.1,29.1,26.6,19.6,74.45,,18.2,31.1,65.17,0.1,25,3.9,9.1,100,1015.3,"Ice, Mist, Light Snow, Rain, Light Rain, Smoke Or Haze, Light Freezing Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/10/2015,26,38.9,30.8,19.5,63.13,,18.1,,53.42,0,8.33,4.4,9.6,70.2,1017,"Light Snow, Mist, Light Freezing Drizzle/Freezing Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/11/2015,21.8,33.1,27.9,11.5,50.67,,14.9,,87.88,0,0,3.9,10,0.7,1016.6,"",40.775921,-73.982607,"10023, USA",""
"10023",02/12/2015,20.9,38.9,31.6,17.9,57.29,,11.7,36.4,264.58,0,0,3.9,9,87.6,1009.2,"Light Snow, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",02/13/2015,8,20,14.9,-6.7,37.47,,18.5,41.4,306.96,0,0,4.4,10,0.3,1019,"",40.775921,-73.982607,"10023, USA",""
"10023",02/14/2015,16.9,32.1,25.2,9.5,52.55,,11.7,,196.14,0,12.5,5.1,8.3,82.2,1008.6,"Light Snow, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",02/15/2015,3.9,25.1,15,-1.4,48.46,,19.8,43.4,294.79,0,8.33,5.4,9.3,50,1008.2,"Blowing Or Drifting Snow, Light Snow",40.775921,-73.982607,"10023, USA",""
"10023",02/16/2015,3.8,20,12.2,-11,35.22,,15.2,36.6,292.83,0,0,5.1,10,13.4,1020.5,"",40.775921,-73.982607,"10023, USA",""
"10023",02/17/2015,15.1,26.9,21.1,7.8,57.53,,10.2,,154,0.1,33.33,7.9,6.6,52.7,1013.2,"Light Snow, Mist, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",02/18/2015,19.1,30.8,25.5,11.7,55.91,,9.4,,160.54,0,4.17,7.1,9.3,30.7,1010.2,"Light Snow, Fog",40.775921,-73.982607,"10023, USA",""
"10023",02/19/2015,10.1,26.8,18.2,-2,41.23,,19.4,37.8,293.79,0,0,5.1,10,44.1,1009.4,"Blowing Or Drifting Snow",40.775921,-73.982607,"10023, USA",""
"10023",02/20/2015,2,19.1,10.6,-10.5,37.47,,16.1,35.6,285,0,0,5.1,10,0.2,1023.8,"",40.775921,-73.982607,"10023, USA",""
"10023",02/21/2015,14,32.1,23,8.9,57.14,,9.2,,210.91,0.5,41.67,7.1,6.3,40.9,1028.8,"Ice, Heavy Snow, Light Snow, Mist, Fog, Light Freezing Rain, Snow",40.775921,-73.982607,"10023, USA",""
"10023",02/22/2015,32.1,43,36.3,28.5,74.28,,8.2,,259.63,0.2,33.33,7.6,6.1,46.7,1021.1,"Ice, Mist, Light Snow, Rain, Light Freezing Rain, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",02/23/2015,8,38,23.4,2.2,40.12,,17.2,39.1,313,0,0,5.9,10,27.1,1025.3,"",40.775921,-73.982607,"10023, USA",""
"10023",02/24/2015,3.9,24.1,14.4,-3.3,44.94,,10.4,,250.91,0,0,5.9,10,8.8,1022.5,"",40.775921,-73.982607,"10023, USA",""
"10023",02/25/2015,20,37.1,29.2,10,45.37,,11.5,29.8,256.08,0,0,5.9,10,1,1010.7,"",40.775921,-73.982607,"10023, USA",""
"10023",02/26/2015,21.8,32.1,25,8,48.9,,11.4,,106.71,0,0,5.1,9.7,60,1016.3,"Light Snow, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",02/27/2015,17.9,29.9,23.4,3.3,42.33,,12.4,,307.62,0,0,5.1,10,21.4,1028.2,"",40.775921,-73.982607,"10023, USA",""
"10023",02/28/2015,14.1,29,22,-1.6,35.38,,12.9,,281.04,0,0,5.1,10,0.6,1040.8,"",40.775921,-73.982607,"10023, USA",""
"10023",03/01/2015,24.9,29.9,27.2,10.6,53.53,,7.1,,220.95,0.5,37.5,7.1,6.4,72.1,1033.3,"Ice, Heavy Snow, Light Snow, Mist, Rain, Fog, Light Rain, Smoke Or Haze, Light Freezing Rain, Snow",40.775921,-73.982607,"10023, USA",""
"10023",03/02/2015,28.1,38,33,16.8,54.26,,16.2,34.6,304.48,0,0,5.9,8.6,47.3,1020.9,"Blowing Or Drifting Snow, Mist, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",03/03/2015,23,35.9,28.8,15.6,59.07,,11,,229.17,0.7,33.33,5.9,7.6,43.4,1025.2,"Ice, Heavy Snow, Light Snow, Mist, Rain, Fog, Light Rain, Heavy Freezing Rain, Light Freezing Rain, Snow",40.775921,-73.982607,"10023, USA",""
"10023",03/04/2015,35.8,44.9,40.2,34.8,81.2,,9.1,,238.25,0.2,41.67,5.5,5.4,99.2,1010.4,"Mist, Rain, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",03/05/2015,20.1,39.9,26.7,21.9,82.74,,11.5,,281.88,0.8,75,11,2.6,81.2,1019.6,"Heavy Snow, Mist, Light Snow, Rain, Heavy Rain And Snow, Fog, Light Rain, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",03/06/2015,12.9,26,19.8,3.1,48.49,,14.8,29.8,210.74,0,0,11,9.4,0.6,1031.1,"",40.775921,-73.982607,"10023, USA",""
"10023",03/07/2015,17.9,38,28.6,10.5,46.76,,12.8,,243.54,0,0,6.4,9.8,33.3,1022.2,"",40.775921,-73.982607,"10023, USA",""
"10023",03/08/2015,37.9,48.8,42.4,21.8,44.26,,17.4,30.7,272.26,0,0,5.1,9.8,60.3,1018,"",40.775921,-73.982607,"10023, USA",""
"10023",03/09/2015,40.9,53.8,47,23.5,40.33,,8.2,,271.1,0,8.33,3.1,9.8,25.2,1021.1,"Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",03/10/2015,40.8,52,46.4,32.2,59.37,,8.1,,90.09,0.4,25,1.5,7.4,38.1,1023.1,"Mist, Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",03/11/2015,43.8,59,50.1,37.5,66.06,,11.5,,274.23,0.1,12.5,1.2,8.1,34.5,1014.8,"Mist, Fog, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",03/12/2015,38.9,48.8,43.7,7.6,24.45,,17.2,45.9,307.29,0,0,1.2,10,0.1,1027.8,"",40.775921,-73.982607,"10023, USA",""
"10023",03/13/2015,32,42.1,37.6,8.1,31.34,,11.3,33.3,159.54,0,0,,10,1.3,1034.7,"",40.775921,-73.982607,"10023, USA",""
"10023",03/14/2015,39.8,50.1,44.6,39.7,83.64,,11.3,,197.04,0.8,79.17,,6.1,98,1016.2,"Mist, Light Drizzle, Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",03/15/2015,37.1,44.9,41.6,28.8,61.05,,20.5,41.5,294.5,0,0,,9.8,93.5,1008.7,"Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",03/16/2015,35,51.2,42.1,24.7,50.32,,10.4,29.8,263.26,0,0,,10,13,1013.8,"",40.775921,-73.982607,"10023, USA",""
"10023",03/17/2015,35,56,47.9,28.3,47.78,,21.8,47.2,275.87,0,8.33,,9.5,66.6,1005.1,"Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",03/18/2015,29.9,38.9,33.4,8.8,35.69,,19.7,41.4,268.92,0,0,,10,45.2,1016.9,"Light Snow",40.775921,-73.982607,"10023, USA",""
"10023",03/19/2015,29,42.2,34.9,4.4,29.24,,12.9,,297.29,0,0,,10,9,1025.2,"",40.775921,-73.982607,"10023, USA",""
"10023",03/20/2015,29,37.1,33.3,15.5,54.63,,14.9,,76.79,0.4,41.67,5.1,5.6,70.9,1025,"Heavy Snow, Light Snow, Mist, Fog, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",03/21/2015,29,47,36.6,28.9,74.39,,10.3,,214.41,0,4.17,3.9,5.9,84,1016,"Mist, Light Snow, Light Freezing Drizzle/Freezing Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",03/22/2015,29.9,44.9,37.3,13.4,38.28,,15.9,31.1,313.54,0,0,,10,4.4,1016.9,"",40.775921,-73.982607,"10023, USA",""
"10023",03/23/2015,23.1,38,30.4,4,33.55,,13.5,,317.54,0,0,,10,0.5,1023.1,"",40.775921,-73.982607,"10023, USA",""
"10023",03/24/2015,26,44,34.6,7.9,32.94,,11.3,,201.42,0,0,,10,31.4,1026.5,"",40.775921,-73.982607,"10023, USA",""
"10023",03/25/2015,34,47,40.2,22.6,52.73,,11.5,,147.3,0.1,20.83,,9.4,38.1,1027.3,"Mist, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",03/26/2015,42.1,61.8,49,45,86.11,,10.3,,167.58,0.2,29.17,,4.7,98,1011,"Mist, Light Drizzle, Rain, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",03/27/2015,38.9,44.9,42.5,33.4,71.77,,9.1,,288.71,0.4,33.33,,9.2,100,1006.9,"Mist, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",03/28/2015,29,41.1,35.6,20.1,53.07,,12.9,31.1,295.08,0,0,,9.8,99.1,1010.9,"Light Snow",40.775921,-73.982607,"10023, USA",""
"10023",03/29/2015,25.1,46.1,34.7,5.9,32.56,,11.4,,291.46,0,0,,9.7,38.9,1022.2,"Light Snow, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",03/30/2015,35.9,53,44,22.5,44.29,,16.1,43.5,244,0,0,,9.8,60.6,1012.2,"Light Snow, Light Rain",40.775921,-73.982607,"10023, USA",""
